Source,Label,Target
urn:cts:latinLit:phi0660,foaf:name,wikidata:Q7198
urn:cts:latinLit:phi0474,foaf:nick,Cicéron
urn:ctslatinLit:phi0836,foaf:nick,le Cicéron de la médecine
urn:cts:latinLit:phi0660,foaf:Organization,wikidata:Q49757
wikidata:Q184742,foaf:primaryTopic,wikidata:Q37484
urn:cts:latinLit:phi0120,foaf:publications,Amphitryon
urn:ctslatinLit:phi0836,foaf:publications,De Arte medica
urn:cts:latinLit:phi0142,foaf:publications,L’Heautontimoroumenos
urn:cts:latinLit:phi0660,foaf:publications,wikidata:Q3782570
urn:cts:latinLit:phi1017,foaf:status,wikidata:Q4964182
urn:cts:latinLit:phi0139,foaf:surname,Afer
urn:cts:latinLit:phi0141,foaf:theme,Théâtre
urn:ctslatinLit:phi0836,foaf:topic_interest,"agriculture, art militaire, médecine"
urn:cts:latinLit:phi0550,foaf:topic_interest,épicurisme
urn:cts:latinLit:phi0660,foaf:topic_interest,poetry
urn:cts:latinLit:phi0660,foaf:topic_interest,wikidata:Q14373
wikidata:Q3791552,foaf:topic_interest,wikidata:Q18536349
urn:cts:latinLit:phi1017,foaf:topic_interest,wikidata:Q48235
urn:cts:latinLit:phi1348,lived in,pleaides:3169070
urn:cts:latinLit:phi0474,rdf:type,foaf:person
urn:cts:latinLit:phi0123,schema:birthDate,-254
unr:cts:latinLit:phi0448,schema:birthDate,-100
urn:cts:latinLit:phi1354,schema:birthDate,58
urn:cts:latinLit:phi1348,schema:birthPlace,pleaides:305090
urn:cts:latinLit:phi0660,Schema:birthplace,Gabies
urn:cts:latinLit:phi1356,schema:birthPlace,Gaule Narbonnaise
urn:cts:latinLit:phi0136,schema:birthPlace,pleiades:314921
urn:cts:latinLit:phi0119,schema:birthPlace,pleiades:413306
unr:cts:latinLit:phi0448,schema:birthPlace,pleiades:423025
urn:ctslatinLit:phi0839,schema:birthPlace,Vérone
urn:cts:latinLit:phi0474,schema:brithDate,3 janvier 106 av. J.C.
unr:cts:latinLit:phi0448,schema:colleague,viaf:6224297
urn:cts:latinLit:phi0119,schema:deathDate,-184
urn:cts:latinLit:phi1355,schema:deathDate,120
urn:ctslatinLit:phi0841,schema:deathDate,Ie siècle après JC
urn:cts:latinLit:phi1357,schema:deathPlace,Empire romain
unr:cts:latinLit:phi0448,schema:funder,pleiades:445545537
urn:ctslatinLit:phi0842,schema:hasOccupation,polygraphe
urn:cts:latinLit:phi1360,schema:homeLocation,pleiades:423025
urn:cts:latinLit:phi1359,schema:jobTitle,historien
urn:cts:latinLit:phi0660,schema:nationality,Rome Antique
urn:cts:latinLit:phi0124,schema:Occupation,auteur comique
unr:cts:latinLit:phi0448,schema:parent,viaf:67910474
Suetonius Laetus,schema:parents,urn:cts:latinLit:phi1348
urn:cts:latinLit:phi1358,schema:spouse,Julia Agricola
urn:cts:latinLit:phi1348,schema:worksFor,wikidata:Q1427
urn:cts:latinLit:phi1348,schema:WriteAction,viaf:293152251
