Sujet	Prédicat	Objet
<http://viaf.org/viaf/18013086>	dbpedia:residence	<http://pleiades.stoa.org/places/971691208>
<http://viaf.org/viaf/10638270>	schema:creator	wikidata:Q1784733
<http://viaf.org/viaf/100219060>	schema:hasOccupation	wikidata:Q864380
<http://viaf.org/viaf/8194433>	foaf:topic_interest	wikidata:Q5891
<http://viaf.org/viaf/66462384>	schema:birthPlace	<http://pleiades.stoa.org/places/314921>
<viaf.org/viaf/78769600>	schema:birthPlace	<http://pleiades.stoa.org/places/432700>
<http://viaf.org/viaf/10638270>	schema:knows	<http://viaf.org/viaf/34451872>
<http://viaf.org/viaf/100219060>	schema:author	<http://viaf.org/viaf/189367035>
<http://viaf.org/viaf/100226923>	schema:member	wikidata:Q303593
<http://viaf.org/viaf/66462281>	schema:birthDate	-254
<http://viaf.org/viaf/100227522>	foaf:name	Horace
<http://viaf.org/viaf/36906810>	schema:sponsor	<http://viaf.org/viaf/8194433>
<http://viaf.org/viaf/8194433>	foaf:name	Virgile
<http://viaf.org/viaf/10638270>	pschema:hasOccupation	wikidata:Q11704729
<http://viaf.org/viaf/66462281>	foaf:publications	<http://viaf.org/viaf/186138325/>
<viaf.org/viaf/78769600>	schema:gender	wikidata:Q6581097
<http://viaf.org/viaf/309541915>	schema:Book	<http://viaf.org/viaf/176453208>
<http://viaf.org/viaf/8099277>	schema:nationality	wikidata:Q1747689
<http://viaf.org/viaf/8194433>	schema:nationality	wikidata:Q2277
<http://viaf.org/viaf/66462281>	schema:hasOccupation	wikidata:Q154549
<http://viaf.org/viaf/88342447>	foaf:name	Ovide
<viaf.org/viaf/78769600>	schema:knows	wikidata:Q75826
<http://viaf.org/viaf/66462281>	foaf:publications	<http://viaf.org/viaf/174822889/>
<http://viaf.org/viaf/8099277>	dbpedia:birthPlace	<http://pleiades.stoa.org/places/246247>
<http://viaf.org/viaf/100219060>	schema:deathPlace	<http://www.geonames.org/maps/google_41.892_12.511.html>
<http://viaf.org/viaf/8099277>	schema:funder	<http://viaf.org/viaf/83217593>
<http://viaf.org/viaf/66462384>	schema:birthDate	-190
<http://viaf.org/viaf/88342447>	schema:birthPlace	<http://pleiades.stoa.org/places/413019>
<http://viaf.org/viaf/8194433>	foaf:topic_interest	wikidata:Q395
<http://viaf.org/viaf/286265178>	wikidataProp:P39	wikidata:Q21597597
<http://viaf.org/viaf/10638270>	schema:creator	wikidata:Q5369651
<http://viaf.org/viaf/8099277>	dbpedia:deathPlace	<http://pleiades.stoa.org/places/246247>
<http://viaf.org/viaf/100219060>	schema:birthPlace	<http://pleiades.stoa.org/places/393438>
<http://viaf.org/viaf/8194433>	foaf:knows	<http://viaf.org/viaf/298310776>
<http://viaf.org/viaf/18013086>	schema:colleague	<http://viaf.org/viaf/11492581>
<http://viaf.org/viaf/10638270>	pschema:hasOccupation	wikidata:Q15686806
<http://viaf.org/viaf/90637919>	foaf:nickname	Sénèque le Philosophe
wikidata:Q106199	dc:creator	<http://viaf.org/viaf/286265178>
<http://viaf.org/viaf/66462281>	foaf:publications	<http://viaf.org/viaf/273381689/>
<viaf.org/viaf/78769600>	pschema:hasOccupation	wikidata:Q172907
<http://viaf.org/viaf/18013086>	schema:children	<http://viaf.org/viaf/89600176>
<http://viaf.org/viaf/100219060>	foaf:knows	<http://viaf.org/viaf/78769600>
<http://viaf.org/viaf/100226923>	schema:winner	wikidata:Q2282528
<http://viaf.org/viaf/18013086>	schema:deathPlace	<http://pleiades.stoa.org/places/432981>
<http://viaf.org/viaf/8099277>	pschema:hasOccupation	wikidata:Q849288
<http://viaf.org/viaf/100219060>	foaf:knows	<http://viaf.org/viaf/100218993>
<http://viaf.org/viaf/100226923>	foaf:name	Publius Cornelius Tacitus
<http://viaf.org/viaf/8099277>	wikidataProp:P1412	wikidata:Q397
<http://viaf.org/viaf/8099277>	pschema:hasOccupation	wikidata:Q36180
<http://viaf.org/viaf/90637919>	foaf:name	Sénèque
<http://viaf.org/viaf/90637919>	schema:birthDate	-4
<http://viaf.org/viaf/18013086>	schema:jobTitle	Princeps civitatis
<http://viaf.org/viaf/8099277>	dc:identifier	<urn:cts:latinLit:phi1294>
<http://viaf.org/viaf/66462281>	schema:hasOccupation	wikidata:Q482980
<http://viaf.org/viaf/90637919>	wikidata:Q609016	wikidata:Q1413
<http://viaf.org/viaf/176199512>	dct:title	De rerum natura
<viaf.org/viaf/78769600>	foaf:publications	wikidata:Q1055008
<http://viaf.org/viaf/90637919>	relationship:siblingOf	wikidata:Q452194
