Source	Label	Target
https://viaf.org/viaf/298310776	http://schema.org/knows	https://viaf.org/viaf/286265178	
https://viaf.org/viaf/298310776	http://xmlns.com/foaf/0.1/publications	http://viaf.org/processed/BNF%7C14483957	
https://viaf.org/viaf/298310776	http://schema.org/relatedTo	https://www.wikidata.org/wiki/Q1429412	
https://viaf.org/viaf/298310776	http://schema.org/knows	https://www.wikidata.org/wiki/Q1235482	
https://viaf.org/viaf/298310776	http://schema.org/knows	https://viaf.org/viaf/100219060	
https://viaf.org/viaf/298310776	http://schema.org/knows	Juventius	lat
https://viaf.org/viaf/298310776	http://schema.org/knows	https://viaf.org/viaf/88642691	
https://viaf.org/viaf/298310776	http://schema.org/knows	https://viaf.org/viaf/32386508	
https://viaf.org/viaf/298310776	http://schema.org/affiliation	Novi	Poetae	lat
https://viaf.org/viaf/298310776	http://schema.org/address	https://pleiades.stoa.org/places/383781	
viaf.org/viaf/78769600	xmlns.com/foaf/0.1/name	Cicéron	fre
viaf.org/viaf/78769600	xmlns.com/foaf/0.1/name	Marcus	Tullius	Cicero	lat
viaf.org/viaf/78769600	xmlns.com/foaf/0.1/birthday	3/01/-106	
viaf.org/viaf/78769600	http://schema.org/birthPlace	https://pleiades.stoa.org/places/432700	
viaf.org/viaf/78769600	http://xmlns.com/foaf/0.1/publications	https://www.wikidata.org/wiki/Q1055008	
viaf.org/viaf/78769600	https://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q2912782	
viaf.org/viaf/78769600	https://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q172907	
viaf.org/viaf/78769600	https://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q189430	
viaf.org/viaf/78769600	https://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q205757	
viaf.org/viaf/78769600	http://schema.org/deathPlace	https://pleiades.stoa.org/places/432734	
viaf.org/viaf/78769600	http://schema.org/deathDate	7/12/-43	
viaf.org/viaf/78769600	https://www.wikidata.org/wiki/Property:P26	https://www.wikidata.org/wiki/Q435936	
viaf.org/viaf/78769600	http://schema.org/gender	https://www.wikidata.org/wiki/Q6581097	
viaf.org/viaf/78769600	http://schema.org/nationality	https://www.wikidata.org/wiki/Q1747689	
viaf.org/viaf/78769600	https://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q4964182	
viaf.org/viaf/78769600	https://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q12859263	
viaf.org/viaf/78769600	http://schema.org/CreativeWork	https://www.wikidata.org/wiki/Q246289	
viaf.org/viaf/78769600	https://www.wikidata.org/wiki/Q289891	https://www.wikidata.org/wiki/Q1048	
viaf.org/viaf/78769600	http://schema.org/knows	https://www.wikidata.org/wiki/Q75826	
https://viaf.org/viaf/10638270	http://xmlns.com/foaf/0.1/name	Pline	Le	Jeune	fre
https://viaf.org/viaf/10638270	http://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q15686806	
https://viaf.org/viaf/10638270	http://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q40348	
https://viaf.org/viaf/10638270	http://schema.org/birthPlace	https://pleiades.stoa.org/places/383627	
https://viaf.org/viaf/10638270	http://schema.org/deathPlace	https://pleiades.stoa.org/places/981512	
https://viaf.org/viaf/10638270	http://schema.org/birthDate	61	
https://viaf.org/viaf/10638270	http://schema.org/deathDate	114	
https://viaf.org/viaf/10638270	https://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q629712	
https://viaf.org/viaf/10638270	https://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q1190123	
https://viaf.org/viaf/10638270	http://schema.org/familyName	https://viaf.org/viaf/316584858	
https://viaf.org/viaf/10638270	http://schema.org/creator	https://www.wikidata.org/wiki/Q1784733	
https://viaf.org/viaf/10638270	http://schema.org/knows	https://www.wikidata.org/wiki/Q842606	
https://viaf.org/viaf/10638270	http://schema.org/knows	https://viaf.org/viaf/34451872	
https://viaf.org/viaf/100219162	http://schema.org/parent	https://viaf.org/viaf/10638270	
https://viaf.org/viaf/10638270	http://schema.org/creator	https://www.wikidata.org/wiki/Q5369651	
https://viaf.org/viaf/10638270	https://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q11704729	
https://viaf.org/viaf/10638270	http://schema.org/hasOccupation	https://www.wikidata.org/wiki/Q172907	
